,prompts
0,A brown and white corgi is eating a large watermelon while sitting on a towel at the beach
1,a dog is sitting on a blanket with a watermelon and a watermelon
2,a dog is laying on a blanket on the grass
3,a close up of a dog laying on the grass with a frisbee
4,a close up of a dog with a frisbee in its mouth and a frisbee
5,a close up of a dog with a frisbee in its mouth and a frisbee
6,a close up of a dog with a frisbee in its mouth
7,a close up of a dog with a purple collared collar and a purple collared collared
8,a close up of a dog wearing a purple collared collared dog collared dog collared
9,a close up of a dog wearing a purple collared collared collared collared dog collar
10,a close up of a dog wearing a purple collared collared collared dog collared collar
